inspection_id,name,aka_name,facility_type,risk,address,city,state,zip,date,inspection_type,results,violations,latitude,longitude,location
2370058,MARIANO'S #8538,MARIANO'S,Grocery Store,Risk 1 (High),3030 N BROADWAY ,CHICAGO,IL,60657,05/04/2020,Complaint,Pass,"47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED 2 REACH IN COOLERS GLASS DOORS BROKEN AT CHEESE SHOP, ESTABLSHMENT IS USING BAGS AS TEMPORARY DOOR COVERS. INSTRUCTED MANAGER MUST PROVIDE WORKING GLASS DOORS FOR SAID COOLERS.",41.937338437309435,-87.64445647150518,"(-87.64445647150518, 41.93733843730944)"
2370049,TWO  MILE LLC,TWO MILE,,Risk 2 (Medium),9907 S WALDEN PKWY ,CHICAGO,IL,60643,05/01/2020,License,Not Ready,,41.713629854242846,-87.66754400022322,"(-87.66754400022322, 41.71362985424284)"
2370035,HAROLD'S CHICKEN SHACK #27,HAROLD'S CHICKEN SHACK #27,Restaurant,Risk 2 (Medium),10259 S HALSTED ST ,CHICAGO,IL,60628,05/01/2020,Complaint,No Entry,,41.70701073530631,-87.64269046563244,"(-87.64269046563244, 41.707010735306305)"
2370022,IHOP,IHOP,Restaurant,Risk 1 (High),7547-7549 S CICERO AVE ,CHICAGO,IL,60652,05/01/2020,Canvass,Out of Business,,41.75523320664049,-87.74140580966457,"(-87.74140580966458, 41.755233206640504)"
2369973,WALGREENS #1496,WALGREENS #1496,Grocery Store,Risk 3 (Low),6310 N NAGLE AVE ,CHICAGO,IL,60646,04/30/2020,Canvass Re-Inspection,Pass,,41.995923922764256,-87.78763799175523,"(-87.78763799175523, 41.99592392276426)"
2369963,SHEIKA FOOD MARKET,SHEIKA FOOD MARKET,Grocery Store,Risk 2 (Medium),2902 W MADISON ST ,CHICAGO,IL,60612,04/30/2020,Canvass,Out of Business,,41.881160006132795,-87.6989304292468,"(-87.69893042924681, 41.8811600061328)"
2369954,ALINA PHARMACY,,Grocery Store,Risk 3 (Low),1547 W CHICAGO AVE ,CHICAGO,IL,60642,04/30/2020,Canvass,Out of Business,,41.89597324304578,-87.66674388868744,"(-87.66674388868744, 41.89597324304578)"
2369948,SHARKS,SHARKS,Restaurant,Risk 2 (Medium),338 S CALIFORNIA AVE ,CHICAGO,IL,60612,04/30/2020,Canvass,Out of Business,,41.87621066522763,-87.69630549752044,"(-87.69630549752043, 41.87621066522763)"
2369934,MINI MERCADO LOS PICACHOS,MINI MERCADO LOS PICACHOS,,Risk 3 (Low),6001 S KEDZIE AVE ,CHICAGO,IL,60629,04/30/2020,Canvass,Out of Business,,41.784338681497566,-87.70314406491093,"(-87.70314406491092, 41.784338681497566)"
2369942,KING PHO PLUS,KING PHO PLUS,Restaurant,Risk 1 (High),5414-5416 W DEVON AVE ,CHICAGO,IL,60646,04/30/2020,Complaint,Fail,"2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: NO CITY OF CHICAGO CERTIFIED FOOD MANAGER ON SITE DURING THE INSPECTION WHILE THE TEMPERATURE CONTROL FOR SAFETY FOODS (RICE ETC) HAS BEEN PREPARED AND SERVED. INSTRUCTED A CITY OF CHICAGO CERTIFIED FOOD MANAGER MUST BE ON SITE AT ALL TIMES FOODS ARE BEING PREPARED AND SERVED. PRIORITY FOUNDATION VIOLATION 7-38-012,NO CITATION ISSUED. | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED HAND WASHING SINKS IN WASH ROOMS NOT IN OPERABLE,ACCESIBLE FOR EMPLOYEE USE,OBSERVED WATER LINES MISSING.INSTRUCTED TO PROVIDE AND REPAIR PLUMBING WATER LINES AND MAINTAIN. MANAGER IMMEDIATELY CALLED MAINTENANCE SERVICE MAN FOR REPAIRS.PRIORITY VIOLATION 7-38-030(C,NO CITATION ISSUED. (MAINTENANCE MAN REPAIRED PLUMBING ISSUE BY THE END OF INSPECTION ). CORRECTED ON SITE.(COS). | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: INSTRUCTED TO PROVIDE AND MAINTAIN HAND WASHING SIGNS AT HAND SINKS IN KITCHEN FOOD PREP AREA AND DISH WASHING AREA. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED GAP AT BOTTOM OF REAR EXIT DOOR APPROXIMATELY 1/4' INCH MODE OF ENTRY.INSTRUCTED TO PEST PROOF MENTIONED DOOR ALL ACROSS THE BOTTOM TO PREVENT PEST ENTRY. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED PEST INFESTATION WITH LIVE COCKROACH ACTIVITY IN THE FOLLOWING AREAS OF FACILITY OBSERVED 15 LIVE ADULT COCKROACHES CRAWLING ON FLOOR TILES AND BEHIND HOT COOKING EQUIPMENTS STORAGE SHELVINGS AND BEHIND UNDER AND AROUND THE FOOD PREP COOLERS IN THE KITCHEN FOOD PREP AREAS AND 5 LIVE INFANT COCKROACHES ON WALL NEAR THE HAND SINK IN KITCHEN FOOD PREP AREAS AND APPROXIMATELY 50 LIVE INFANT COCKROACHES UNDERNEATH THE 2 DOOR FOOD PREP COOLER IN KITCHEN FOOD PREP AREA AND APPROXIMATELY 5 LIVE INFANT COCKROACHES UNDERNEATH THE DISH WASHING 3 COMPARTMENT SINK AREAS,APPROXIMATELY 10 LIVE ADULT COCKROACHES INSIDE UNUSED ICE MAKER LOCATED IN KITCHEN FOOD PREP AREA ALSO,APPROXIMATELY 3 LIVE INFANT COCKROACHES CRAWLING ON FLOOR UNDERNEATH THE 1 COMPARTMENT SINK BEHIND CLUTTERED FRONT COUNTER SERVICE AREAS.MANAGEMENT INSTRUCTED TO DETAIL CLEAN AND SANITIZE ALL AFFECTED AREAS AND  PEST CONTROL SERVICE IS NOW RECCOMENDED.PRIORITY VIOLATION 7-38-020(A),NO CITATION ISSUED. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: INSTRUCTED TO REMOVE GLUE BOARDS  WITH EXCESSIVE AMOUNTS OF DEAD COCKROACHES ON FLOOR BEHIND AND AROUND CHEST FREEZERS LOCATED AT FRONT SERVICE COUNTER AREAS. | 41. WIPING CLOTHS: PROPERLY USED & STORED - Comments: WIPING CLOTH FOR WIPING THE PREP TABLES, DINING TABLES, CHOPPING BOARD MUST BE STORED ON A BUCKET WITH SANITIZING SOLUTION IN BETWEEN USES. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED A TORN DOOR GASKETS INSIDE OF THE 2 DOOR PREP COOLER AND LEFT DOOR IS LOOSE ON THE SAME COOLER. MANAGEMENT INSTRUCTED TO REPLACE THE TORN DOOR GASKET AND REPAIR LOOSE DOOR ON COOLER. | 48. WAREWASHING FACILITIES: INSTALLED, MAINTAINED & USED; TEST STRIPS - Comments: FOUND NO SANITIZER TEST STRIP KIT ON SITE AT THE TIME OF INSPECTION. INSTRUCTED TO HAVE A TEST STRIP KIT ON SITE AT ALL TIMES TO PROPERLY MONITOR THE STRENGTH OF THE SANITIZER FOR 3-COMPARTMENT SINK AND LOW TEMPERATURE DISH MACHINE.PRIORITY FOUNDATION VIOLATION 7-38-005,NO CITATION ISSUED. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: DETAIL CLEAN KITCHEN STORAGE SHELVES AND ROLLING STORAGE CARTS ENCRUSTED WITH DRIED UP FOOD SPLASHED DEBRIS,SIDES OF HOT COOKING EQUIPMENTS,INTERIORS OF DEEP FRYERS AND INTERIORS OF COOKING STOVES/OVENS.DETAIL CLEAN FOOD PREP TABLES AND LEGS OF ALL EQUIPMENTS WITH SPLASHED SUGAR AND FLOUR SPILLS,INTERIOR DOOR GASKETS AND SHELFS IN ALL COOLERS TO REMOVE SPLASHED FOOD DEBRIS.  | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED WATER LEAKS AT DRAIN PIPE UNDERNEATH THE DISH WASHING 3-COMPARTMENT SINK AREA.INSTRUCTED TO REPAIR PLUMBING LEAKS AND TO MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO DETAIL CLEAN AND ORGANIZE KITCHEN PREP AREAS AND REAR DISH WASHING AREA ALSO,AT FRONT COUNTER SERVICE AREA AND REMOVE UNNECESSARY ARTICLES ON TOP AND BEHIND COOLERS DUE TO POTENTIAL PEST HARBORAGE AND TO MAINTAIN.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO SEAL HOLES ON BROKEN WALL TILES IN KITCHEN FOOD PREP AREAS  DIRECTLY BEHIND COOKING EQUIPMENTS AND UNDER AND AROUND THE REAR DISH WASHING AREAS. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FLOORS ALONG WALLS AND IN ALL CORNERS REQUIRE A DETAIL CLEANING THROUGHOUT THE FACILITY AND RE-GROUT FLOOR TILES IN KITCHEN FOOD PREP AREAS IN FRONT OF COOKING STOVE EQUIPMENTS. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: CEILING VENT COVER ON BOTH WASHROOM WITH DUST BUILD-UP. MUST CLEAN AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: WALLS BEHIND THE COOKING EQUIPMENT WITH FOOD SPLASHED. INSTRUCTED TO CLEAN AND MAINTAIN.",41.997438286068146,-87.76439911874027,"(-87.76439911874026, 41.997438286068146)"
2369933,B & A FOOD,B & A FOOD,Grocery Store,Risk 3 (Low),6229 S KEDZIE AVE ,CHICAGO,IL,60629,04/30/2020,Canvass,Out of Business,,41.77994387212033,-87.70301608318445,"(-87.70301608318445, 41.77994387212033)"
2369924,AROUND THE WAY MINI MART,AROUND THE WAY MINI MART,Grocery Store,Risk 2 (Medium),158 N LARAMIE AVE ,CHICAGO,IL,60644,04/30/2020,Canvass,Out of Business,,41.88396660904719,-87.75534386759125,"(-87.75534386759125, 41.883966609047185)"
2369893,LATIN AMERICAN REST & LOUNGE,LATIN AMERICAN REST & LOUNGE,Restaurant,Risk 1 (High),2743 W DIVISION ST ,CHICAGO,IL,60622,04/29/2020,Canvass,Out of Business,,41.90282132997605,-87.69614329943664,"(-87.69614329943664, 41.90282132997605)"
2369901,Azusa Liquors Inc.,Azusa Liquors,Grocery Store,Risk 3 (Low),4411-4413 N BROADWAY ,CHICAGO,IL,60640,04/29/2020,Canvass Re-Inspection,Pass w/ Conditions,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: FOUND NO VOMIT AND DIARRHEAL CLEANUP PROCEDURES/VOMIT SPILL KIT. PRIORITY FOUNDATION. NO CITATION ISSUED. 7-38-005. MUST PROVIDE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FOUND WALLS AT BASEMENT DRY STORAGE NOT SMOOTH AND EASY TO CLEAN. MUST REPAIR. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FOUND FLOORS NOT CLEAN AT PREMISES/BASEMENT STORAGE. MUST CLEAN AND SANITIZE.",41.96215337650536,-87.65523520127384,"(-87.65523520127385, 41.96215337650536)"
2369879,YOU BUY WE FRY INC.,YOU BUY WE FRY INC.,Grocery Store,Risk 2 (Medium),5627 W MADISON ST ,CHICAGO,IL,60644,04/29/2020,Canvass,Out of Business,,41.88011861685613,-87.7660025098329,"(-87.7660025098329, 41.88011861685613)"
2369894,"JIMMY'S FOOD & DELI,INC",JIMMY'S FOOD & DELI,Grocery Store,Risk 2 (Medium),5601 W MADISON ST ,CHICAGO,IL,60644,04/29/2020,Canvass,Fail,"3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: OBSERVED NO WRITTEN EMPLOYEE HEALTH POLICY ON SITE. INSTRUCTED FACILITY TO ESTABLISH AN APPROPRIATE EMPLOYEE HEALTH POLICY AND MAINTAIN WITH VERIFIABLE SIGNED COPIES ON SITE FOR ALL FOOD EMPLOYEES.  PRIORITY FOUNDATION VIOLATION #7-38-010. NO CITATION ISSUED. | 23. PROPER DATE MARKING AND DISPOSITION - Comments: OBSERVED READY-TO-EAT, TIME/TEMPERATURE CONTROL FOR SAFETY (TCS) FOODS (SLICED TOMATOES) NOT DATE MARKED TO INDICATE THE PRODUCT'S NAME AND DATE IN WHICH THE FOOD MUST BE SOLD, DISCARDED OR CONSUMED WITHIN 7 DAYS. INSTRUCTED TO PROVIDE PROPER LABELS FOR DATE MARKING AND DISCARD DATE FOR REFRIGERATED, READY-TO-EAT, TCS FOODS HELD OVER 24HRS PLACED IN ALL COLD-HOLDING UNITS. THE EMPLOYEE PROVIDED A DATE MARK DURING THE INSPECTION. (COS) PRIORITY FOUNDATION VIOLATION #7-38-005. NO CITATION ISSUED. | 35. APPROVED THAWING METHODS USED - Comments: OBSERVED FACILITY NOT MEETING THAWING REQUIREMENTS. FOOD HANDLER THAWING FROZEN GROUND BEEF IN THREE COMPARTMENT SINK WITH NO RUNNING WATER. INFORMED FOOD HANDLER OF PROPER THAWING METHODS ( MUST UTILIZE RUNNING WATER WITH ENOUGH VOLATILITY WHEN THAWING). MUST MEET PROPER THAWING REQUIREMENTS AND MAINTAIN. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED A 1/4' GAP AT THE BOTTOM OF THE FRONT ENTRANCE DOOR. MUST PROVIDE A TIGHT FITTING SEAL AT ALL OUTER OPENINGS TO PREVENT THE ENTRY OF PESTS. | 41. WIPING CLOTHS: PROPERLY USED & STORED - Comments: OBSERVED WET WIPING CLOTH LAYING THROUGHOUT THE REAR PREP AREA. MUST PROPERLY STORE WIPING CLOTHS IN A SANITIZING SOLUTION BETWEEN USE. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED TORN DOOR GASKET INSIDE OF THE REACH-IN COOLER UNITS. INSTRUCTED TO REPLACE.  | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED THE INTERIOR OF THE  MICROWAVE IN THE FOOD PREP AREA SOILED WITH FOOD DERBIS AND SPLASH. INSTRUCTED TO CLEAN. | 48. WAREWASHING FACILITIES: INSTALLED, MAINTAINED & USED; TEST STRIPS - Comments: OBSERVED FACILITY WITHOUT A CHOLORINE CHEMICAL TEST KIT FOR SANITIZER OR FOR WARE WASHING AREA. INFORMED PERSON IN CHARGE A CHOLORINE TEST KIT THAT ACCURATELY MEASURES THE CONCENTRATION IN MG/L OF SANITIZING SOLUTION MUST BE PROVIDED. PRIORITY FOUNDATION VIOLATION #7-38-005. NO CITATION ISSUED. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED AN EXCESSIVE AMOUNT OF DEBRIS AND ICE BUILDUP IN THE INTERIOR OF ALL CHEST FREZZERS ON PREMISE. MUST REMOVE EXCESS ICE, DETAIL CLEAN, AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED MOP IN A POSITION LOCATED IN THE REAR DISH AREA THAT DOES NOT ALLOW TO DRY PROPERLY AND PREVENT PEST HARBORAGE. MUST STORE MOP AFTER USE IN A MOUNTED POSITION THAT ALLOWS FOR AIR-DRYING WITHOUT SOILING AND PEST HARBORAGING. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED FOOD DEBRIS AND SPILLS ON THE FLOORS AND SURFACES THROUGHOUT THE FACILITY. INSTRUCTED TO DETAIL CLEAN UNDER ALL SHELVING UNITS, INTERIOR OF PREP COOLERS, HOT-HOLDING UNITS, PREP TABLES AND DEEP FRYERS TO REMOVE SPILLS, FOOD DEBRIS, DIRT BUILDUP AND/OR GREASE. MUST MAINTAIN AT ALL TIMES.",41.88013506225544,-87.76494244671031,"(-87.7649424467103, 41.880135062255434)"
2369883,MAPLEWOOD FOOD MARKET,MAPLEWOOD FOOD MARKET,,Risk 3 (Low),2525 W 63RD ST ,CHICAGO,IL,60629,04/29/2020,Canvass,Out of Business,,41.77909635031529,-87.68723997712125,"(-87.68723997712125, 41.779096350315285)"
2369881,JUN HOE TOY RESTAURANT,JUN HOE TOY RESTAURANT,,Risk 3 (Low),2550 W 63RD ST ,CHICAGO,IL,60629,04/29/2020,Canvass,Out of Business,,41.779304842029006,-87.68812936757858,"(-87.68812936757858, 41.779304842029006)"
2369876,GOODY MART,GOODY MART,,Risk 3 (Low),2559 W 63RD ST ,CHICAGO,IL,60629,04/29/2020,Canvass,Out of Business,,41.779078756349676,-87.68846026679678,"(-87.68846026679678, 41.779078756349676)"
2369871,CELIS NUTRICION,CELIS NUTRICION,Restaurant,Risk 2 (Medium),3344 W 63RD ST ,CHICAGO,IL,60629,04/29/2020,Canvass,Fail,"3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: NO EMPLOYEE HEALTH POLICY IN PLACE. INSTD TO PROVIDE A VERIFIABLE EMPLOYEE ACKNOWLEDGED HEALTH POLICY AND MAINTAIN. PRIORITY FOUNDATION 7-38-010 | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: NO PEST CONTROL LOGBOOK OR PROOF OF SERVICE ON SITE. INSTD TO PROVIDE AND MAINTAIN ON SITE. PRIORITY FOUNDATION 7-38-030(C).",41.77901426474392,-87.70734216168728,"(-87.70734216168728, 41.779014264743914)"
